schema,table,column,position,data_type,nullable,default,comment
payroll,payroll_transactions_2025,created_by,14,character varying(100),YES,CURRENT_USER,
payroll,payroll_transactions_2026,transaction_id,1,bigint,NO,,
payroll,payroll_transactions_2026,employee_id,2,integer,NO,,
payroll,payroll_transactions_2026,pay_date,3,date,NO,,
payroll,payroll_transactions_2026,pay_day,4,integer,YES,,
payroll,payroll_transactions_2026,pay_month,5,integer,YES,,
payroll,payroll_transactions_2026,pay_year,6,integer,YES,,
payroll,payroll_transactions_2026,period_seq_in_year,7,integer,YES,,
payroll,payroll_transactions_2026,pay_code,8,character varying(50),NO,,
payroll,payroll_transactions_2026,amount_cents,9,bigint,NO,,
payroll,payroll_transactions_2026,import_batch_id,10,integer,YES,,
payroll,payroll_transactions_2026,source_file,11,character varying(500),YES,,
payroll,payroll_transactions_2026,source_row_no,12,integer,YES,,
payroll,payroll_transactions_2026,created_at,13,timestamp with time zone,YES,CURRENT_TIMESTAMP,
payroll,payroll_transactions_2026,created_by,14,character varying(100),YES,CURRENT_USER,
payroll,stg_imported_payroll,stg_id,1,integer,NO,,
payroll,stg_imported_payroll,matricule_raw,2,character varying(100),YES,,
payroll,stg_imported_payroll,employe_raw,3,character varying(500),YES,,
payroll,stg_imported_payroll,date_paie_raw,4,character varying(50),YES,,
payroll,stg_imported_payroll,categorie_paie_raw,5,character varying(200),YES,,
payroll,stg_imported_payroll,montant_raw,6,character varying(50),YES,,
payroll,stg_imported_payroll,matricule_clean,7,character varying(50),YES,,
payroll,stg_imported_payroll,nom_norm,8,character varying(255),YES,,
payroll,stg_imported_payroll,prenom_norm,9,character varying(255),YES,,
payroll,stg_imported_payroll,employee_key,10,character varying(255),YES,,
payroll,stg_imported_payroll,pay_date,11,date,YES,,
payroll,stg_imported_payroll,pay_code,12,character varying(50),YES,,
payroll,stg_imported_payroll,amount_cents,13,bigint,YES,,
payroll,stg_imported_payroll,is_valid,14,boolean,YES,true,
payroll,stg_imported_payroll,validation_errors,15,ARRAY,YES,,
payroll,stg_imported_payroll,import_batch_id,16,integer,YES,,
